STATISTIC,Statistic Label,Week,Year,C03132V03784,Luas Line,UNIT,VALUE
TII03C01,Passenger Journeys,42,2020,-,All Luas lines,Number,338183
TII03C01,Passenger Journeys,42,2020,1,Red line,Number,164088
TII03C01,Passenger Journeys,42,2020,2,Green line,Number,174095
TII03C01,Passenger Journeys,43,2020,-,All Luas lines,Number,283638
TII03C01,Passenger Journeys,43,2020,1,Red line,Number,145295
TII03C01,Passenger Journeys,43,2020,2,Green line,Number,138343
TII03C01,Passenger Journeys,44,2020,-,All Luas lines,Number,186287
TII03C01,Passenger Journeys,44,2020,1,Red line,Number,102521
TII03C01,Passenger Journeys,44,2020,2,Green line,Number,83766
TII03C01,Passenger Journeys,45,2020,-,All Luas lines,Number,227605
TII03C01,Passenger Journeys,45,2020,1,Red line,Number,118170
TII03C01,Passenger Journeys,45,2020,2,Green line,Number,109435
TII03C01,Passenger Journeys,46,2020,-,All Luas lines,Number,237979
TII03C01,Passenger Journeys,46,2020,1,Red line,Number,124527
TII03C01,Passenger Journeys,46,2020,2,Green line,Number,113452
TII03C01,Passenger Journeys,47,2020,-,All Luas lines,Number,244276
TII03C01,Passenger Journeys,47,2020,1,Red line,Number,129443
TII03C01,Passenger Journeys,47,2020,2,Green line,Number,114833
TII03C01,Passenger Journeys,48,2020,-,All Luas lines,Number,259772
TII03C01,Passenger Journeys,48,2020,1,Red line,Number,133829
TII03C01,Passenger Journeys,48,2020,2,Green line,Number,125944
TII03C01,Passenger Journeys,49,2020,-,All Luas lines,Number,394613
TII03C01,Passenger Journeys,49,2020,1,Red line,Number,195204
TII03C01,Passenger Journeys,49,2020,2,Green line,Number,199409
TII03C01,Passenger Journeys,50,2020,-,All Luas lines,Number,443719
TII03C01,Passenger Journeys,50,2020,1,Red line,Number,214437
TII03C01,Passenger Journeys,50,2020,2,Green line,Number,229282
TII03C01,Passenger Journeys,51,2020,-,All Luas lines,Number,460029
TII03C01,Passenger Journeys,51,2020,1,Red line,Number,223291
TII03C01,Passenger Journeys,51,2020,2,Green line,Number,236739
TII03C01,Passenger Journeys,52,2020,-,All Luas lines,Number,276844
TII03C01,Passenger Journeys,52,2020,1,Red line,Number,135020
TII03C01,Passenger Journeys,52,2020,2,Green line,Number,141825
TII03C01,Passenger Journeys,53,2020,-,All Luas lines,Number,141651
TII03C01,Passenger Journeys,53,2020,1,Red line,Number,71440
TII03C01,Passenger Journeys,53,2020,2,Green line,Number,70211
TII03C01,Passenger Journeys,1,2021,-,All Luas lines,Number,154882
TII03C01,Passenger Journeys,1,2021,1,Red line,Number,86518
TII03C01,Passenger Journeys,1,2021,2,Green line,Number,68364
TII03C01,Passenger Journeys,2,2021,-,All Luas lines,Number,147908
TII03C01,Passenger Journeys,2,2021,1,Red line,Number,83202
TII03C01,Passenger Journeys,2,2021,2,Green line,Number,64705
TII03C01,Passenger Journeys,3,2021,-,All Luas lines,Number,150280
TII03C01,Passenger Journeys,3,2021,1,Red line,Number,84576
TII03C01,Passenger Journeys,3,2021,2,Green line,Number,65704
TII03C01,Passenger Journeys,4,2021,-,All Luas lines,Number,148633
TII03C01,Passenger Journeys,4,2021,1,Red line,Number,84355
TII03C01,Passenger Journeys,4,2021,2,Green line,Number,64278
TII03C01,Passenger Journeys,5,2021,-,All Luas lines,Number,156469
TII03C01,Passenger Journeys,5,2021,1,Red line,Number,87285
TII03C01,Passenger Journeys,5,2021,2,Green line,Number,69184
TII03C01,Passenger Journeys,6,2021,-,All Luas lines,Number,154595
TII03C01,Passenger Journeys,6,2021,1,Red line,Number,86266
TII03C01,Passenger Journeys,6,2021,2,Green line,Number,68329
TII03C01,Passenger Journeys,7,2021,-,All Luas lines,Number,158958
TII03C01,Passenger Journeys,7,2021,1,Red line,Number,85601
TII03C01,Passenger Journeys,7,2021,2,Green line,Number,73357
TII03C01,Passenger Journeys,8,2021,-,All Luas lines,Number,173458
TII03C01,Passenger Journeys,8,2021,1,Red line,Number,95896
TII03C01,Passenger Journeys,8,2021,2,Green line,Number,77563
TII03C01,Passenger Journeys,9,2021,-,All Luas lines,Number,182546
TII03C01,Passenger Journeys,9,2021,1,Red line,Number,99907
TII03C01,Passenger Journeys,9,2021,2,Green line,Number,82639
TII03C01,Passenger Journeys,10,2021,-,All Luas lines,Number,182343
TII03C01,Passenger Journeys,10,2021,1,Red line,Number,100098
TII03C01,Passenger Journeys,10,2021,2,Green line,Number,82245
TII03C01,Passenger Journeys,11,2021,-,All Luas lines,Number,184592
TII03C01,Passenger Journeys,11,2021,1,Red line,Number,97816
TII03C01,Passenger Journeys,11,2021,2,Green line,Number,86775
TII03C01,Passenger Journeys,12,2021,-,All Luas lines,Number,194458
TII03C01,Passenger Journeys,12,2021,1,Red line,Number,103504
TII03C01,Passenger Journeys,12,2021,2,Green line,Number,90954
TII03C01,Passenger Journeys,13,2021,-,All Luas lines,Number,193222
TII03C01,Passenger Journeys,13,2021,1,Red line,Number,104351
TII03C01,Passenger Journeys,13,2021,2,Green line,Number,88872
TII03C01,Passenger Journeys,14,2021,-,All Luas lines,Number,175429
TII03C01,Passenger Journeys,14,2021,1,Red line,Number,94942
TII03C01,Passenger Journeys,14,2021,2,Green line,Number,80488
TII03C01,Passenger Journeys,15,2021,-,All Luas lines,Number,232495
TII03C01,Passenger Journeys,15,2021,1,Red line,Number,118595
TII03C01,Passenger Journeys,15,2021,2,Green line,Number,113900
TII03C01,Passenger Journeys,16,2021,-,All Luas lines,Number,240221
TII03C01,Passenger Journeys,16,2021,1,Red line,Number,126802
TII03C01,Passenger Journeys,16,2021,2,Green line,Number,113419
TII03C01,Passenger Journeys,17,2021,-,All Luas lines,Number,237120
TII03C01,Passenger Journeys,17,2021,1,Red line,Number,125669
TII03C01,Passenger Journeys,17,2021,2,Green line,Number,111451
TII03C01,Passenger Journeys,18,2021,-,All Luas lines,Number,216926
TII03C01,Passenger Journeys,18,2021,1,Red line,Number,112233
TII03C01,Passenger Journeys,18,2021,2,Green line,Number,104694
TII03C01,Passenger Journeys,19,2021,-,All Luas lines,Number,304059
TII03C01,Passenger Journeys,19,2021,1,Red line,Number,157788
TII03C01,Passenger Journeys,19,2021,2,Green line,Number,146271
TII03C01,Passenger Journeys,20,2021,-,All Luas lines,Number,356075
TII03C01,Passenger Journeys,20,2021,1,Red line,Number,181324
TII03C01,Passenger Journeys,20,2021,2,Green line,Number,174751
TII03C01,Passenger Journeys,21,2021,-,All Luas lines,Number,388279
TII03C01,Passenger Journeys,21,2021,1,Red line,Number,202202
TII03C01,Passenger Journeys,21,2021,2,Green line,Number,186077
TII03C01,Passenger Journeys,22,2021,-,All Luas lines,Number,381468
